"ruta_interna","nombre_archivo","tipo_evidencia","fecha_sesion","fecha_procesamiento","codigo_participante","duracion","codec_formato","tamano_kb_reportado","sha256","estado_revision","observaciones"
"Walkthrough/Audios/Tecnicos/2026-08-13_Audio_WALK-TEC-03_Ing.Soft.mp3","2026-08-13_Audio_WALK-TEC-03_Ing.Soft.mp3","audio","2026-08-13","2026-09-01 14:48","WALK-TEC-03","00:45:20","MP3 (audio=MP3)","42494","865661cf39c2341df0450a60068a40e65939dad3aee51c958335b4a78cb9e04a","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Walkthrough/Consentimientos/No_Tecnicos/WALK-NTEC-01_Consentimiento_Original.pdf","WALK-NTEC-01_Consentimiento_Original.pdf","consentimiento","2026-08-16","2026-09-01 14:48","WALK-NTEC-01","NO_APLICA","PDF","663","acb8a4d2a72549642e2903f067982626eb2e9e9063c75ed3714e868f158b5b89","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Walkthrough/Consentimientos/No_Tecnicos/WALK-NTEC-02_Consentimiento_Original.pdf","WALK-NTEC-02_Consentimiento_Original.pdf","consentimiento","2026-08-16","2026-09-01 14:48","WALK-NTEC-02","NO_APLICA","PDF","654","c2c59fa18da16b654f1398b5023b462145e5ce64e4adbbc73138a174866de703","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Walkthrough/Consentimientos/No_Tecnicos/WALK-NTEC-03_Consentimiento_Original.pdf","WALK-NTEC-03_Consentimiento_Original.pdf","consentimiento","2026-08-22","2026-09-01 14:48","WALK-NTEC-03","NO_APLICA","PDF","658","454de1968b540b6d9cc51e58abedc8f9f685b643d683398a4c00f7375d29f3b6","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Walkthrough/Consentimientos/Tecnicos/WALK-TEC-01_Consentimiento_Original.pdf","WALK-TEC-01_Consentimiento_Original.pdf","consentimiento","2026-08-12","2026-09-01 14:48","WALK-TEC-01","NO_APLICA","PDF","565","73a193ed70b0b9a1b77a20bd5e06d2073201dddd1202a05498265de39a2f424d","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Walkthrough/Consentimientos/Tecnicos/WALK-TEC-02_Consentimiento_Original.pdf","WALK-TEC-02_Consentimiento_Original.pdf","consentimiento","2026-08-12","2026-09-01 14:48","WALK-TEC-02","NO_APLICA","PDF","570","9b5e53d7da8e77764b211f2af4776f1fda31661842b75f4aeeadd810637d9431","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Walkthrough/Consentimientos/Tecnicos/WALK-TEC-03_Consentimiento_Original.pdf","WALK-TEC-03_Consentimiento_Original.pdf","consentimiento","2026-08-13","2026-09-01 14:48","WALK-TEC-03","NO_APLICA","PDF","741","e2dbb0fa575c35850ca7e35d6a97c74ff353f3adcda4067e1d9184cbcb05bc3e","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Walkthrough/Videos/No_Tecnicos/2026-08-16_Video_WALK-NTEC-01_Instructor.mp4","2026-08-16_Video_WALK-NTEC-01_Instructor.mp4","video","2026-08-16","2026-09-01 14:48","WALK-NTEC-01","00:17:53","MP4 (video=H264, audio=AAC)","53639","893e21b1bf812da5dcad62cd2df801e0f27e7f17d6e57b649e9429ef8342d250","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Walkthrough/Videos/No_Tecnicos/2026-08-16_Video_WALK-NTEC-02_Recepcionista.mp4","2026-08-16_Video_WALK-NTEC-02_Recepcionista.mp4","video","2026-08-16","2026-09-01 14:48","WALK-NTEC-02","00:17:57","MP4 (video=H264, audio=AAC)","56117","35426caae7e710c34a4d8609a9b5e04e98b89042cab6d69d1171f398ec994d98","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Walkthrough/Videos/No_Tecnicos/2026-08-22_Video_WALK-NTEC-03_DuenoGym.mp4","2026-08-22_Video_WALK-NTEC-03_DuenoGym.mp4","video","2026-08-22","2026-09-01 14:48","WALK-NTEC-03","00:22:58","MP4 (video=H264, audio=AAC)","81835","b31e3563d73f0b5cadd8cbf7ca70f8ba298790a5a7ffe52806d67b259bc06f45","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Walkthrough/Videos/Tecnicos/2026-08-12_Video_WALK-TEC-01_Ing.Soft.mp4","2026-08-12_Video_WALK-TEC-01_Ing.Soft.mp4","video","2026-08-12","2026-09-01 14:48","WALK-TEC-01","00:24:46","MP4 (video=H264, audio=AAC)","84476","147eb88ebb07818179611e51e9381cff1f781f53408153f6623c03731326aa5a","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Walkthrough/Videos/Tecnicos/2026-08-12_Video_WALK-TEC-02_Ing.Soft.mp4","2026-08-12_Video_WALK-TEC-02_Ing.Soft.mp4","video","2026-08-12","2026-09-01 14:48","WALK-TEC-02","00:26:39","MP4 (video=H264, audio=AAC)","137351","7285c6d3ff83df7377ba5479cce8d66d9634b9a80a7bfb7fa2958842d3901d0e","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Walkthrough/Videos/Tecnicos/2026-08-13_Video_WALK-TEC-03_Ing.Soft.mp4","2026-08-13_Video_WALK-TEC-03_Ing.Soft.mp4","video","2026-08-13","2026-09-01 14:48","WALK-TEC-03","00:45:20","MP4 (video=H264, audio=AAC)","88461","bdfe452b95c853021efefc2817515fd6dde50e1250156dc22c70e727228a586d","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
