comparacion,unidad_analisis,n_unidades,n_tecnico,n_no_tecnico,interpretable,alcance_interpretacion,motivo_interpretabilidad,metrica,unidad_metrica,medida_efecto,efecto_delta,IC95_bootstrap_exacto_inf,IC95_bootstrap_exacto_sup,combinaciones_bootstrap,media_tecnico,media_no_tecnico,diferencia_medias_Tec_menos_NoTec,interpretacion
Proporcion de fragmentos pertinentes a explicabilidad por sesion,Sesion de walkthrough independiente,6,3,3,NO,DESCRIPTIVO-EXPLORATORIO; NO INFERENCIA POBLACIONAL,NO inferencial: solo 3 sesiones independientes por perfil y el IC95% es amplio e incluye 0; la estimacion se reporta solo descriptivamente.,proporcion_explicabilidad,proporcion,Delta de Cliff,0.555556,-0.333333,1.000000,729,0.146296,0.071970,0.074327,Delta positivo = valores mayores en sesiones tecnicas; estimacion descriptiva del caso.
Conteo de fragmentos pertinentes a explicabilidad por sesion,Sesion de walkthrough independiente,6,3,3,NO,DESCRIPTIVO-EXPLORATORIO; NO INFERENCIA POBLACIONAL,NO inferencial: solo 3 sesiones independientes por perfil; ademas el conteo bruto depende del numero total de fragmentos codificados por sesion y se usa solo como analisis de sensibilidad.,fragmentos_explicabilidad,fragmentos,Delta de Cliff,0.777778,0.333333,1.000000,729,2.333333,0.666667,1.666667,Delta positivo = valores mayores en sesiones tecnicas; estimacion descriptiva del caso.
